id,nom_estab,codigo_act,nombre_act,cod_postal,cve_mun,alcaldia,latitud,longitud
8327283,CENTRO DE DIAGNOTICO PULMONAR AVANZADO,621111,Consultorios de medicina general del sector privado,6760,15,Cuauhtémoc,19.40538704,-99.15973415
908382,CENTRO DE ESPECIALIDADES MEDICAS,621111,Consultorios de medicina general del sector privado,4200,3,Coyoacán,19.34029493,-99.13700761
11813400,CENTRO HOLISTICO,621111,Consultorios de medicina general del sector privado,,15,Cuauhtémoc,19.43174306,-99.13655054
10075240,CENTRO INTEGRAL DE CIRUGIA PLASTICA,621111,Consultorios de medicina general del sector privado,1900,10,Álvaro Obregón,19.33313993,-99.1996993
952346,CENTRO INTEGRAL DE MEDICINA ANTIENVEJECIMIENTO,621111,Consultorios de medicina general del sector privado,3104,14,Benito Juárez,19.37289667,-99.17559126
9128807,CENTRO INTEGRAL PARA EL CONTROL DE SOBRE PESO Y OBESIDAD,621111,Consultorios de medicina general del sector privado,15900,17,Venustiano Carranza,19.41466346,-99.10467305
903933,CENTRO MEDICO CAPISTRAN,621111,Consultorios de medicina general del sector privado,3650,14,Benito Juárez,19.37461122,-99.16018948
10825307,CENTRO MEDICO COYOACAN,621111,Consultorios de medicina general del sector privado,4980,3,Coyoacán,19.30975993,-99.12970165
8442685,CENTRO MEDICO COYOACAN,621111,Consultorios de medicina general del sector privado,4980,3,Coyoacán,19.30999698,-99.12887559
990662,CENTRO MEDICO COYOACAN,621111,Consultorios de medicina general del sector privado,4980,3,Coyoacán,19.30975993,-99.12970165
1017558,CENTRO MEDICO ESPECIALIZADO EN DIABETES,621111,Consultorios de medicina general del sector privado,6470,15,Cuauhtémoc,19.43889326,-99.15824794
978189,CENTRO MEDICO FAMILIAR,621111,Consultorios de medicina general del sector privado,4480,3,Coyoacán,19.32628569,-99.11362677
1013366,CENTRO MEDICO GUERRERO,621111,Consultorios de medicina general del sector privado,6350,15,Cuauhtémoc,19.44275902,-99.14877962
972994,CENTRO MEDICO PRIVADO,621111,Consultorios de medicina general del sector privado,3310,14,Benito Juárez,19.37043355,-99.16280196
6730097,CENTRO QUIRURGICO RIO CONSULADO,621111,Consultorios de medicina general del sector privado,2980,2,Azcapotzalco,19.46333125,-99.15221699
927530,CENTTRO DE URGENCIAS MEDICAS NUM 6 DE LA CRUZ ROJA MEXICANA,621111,Consultorios de medicina general del sector privado,,10,Álvaro Obregón,19.35493504,-99.21554839
764826,CHECK UP MEDICO ESPECIALIZADO,621111,Consultorios de medicina general del sector privado,11560,16,Miguel Hidalgo,19.43180858,-99.17990376
894607,CIBIO,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.42295674,-99.15685269
912397,CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,14050,12,Tlalpan,19.29617416,-99.16118248
912267,CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,14050,12,Tlalpan,19.29617416,-99.16118248
858314,CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,14050,12,Tlalpan,19.29617416,-99.16118248
11584072,CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,1120,10,Álvaro Obregón,19.39939293,-99.20422735
9753648,CIRUGIA GENERAL DE COLON Y RECTO,621111,Consultorios de medicina general del sector privado,1120,10,Álvaro Obregón,19.39925564,-99.20420882
723847,CISDE CENTRO INTEGRAL DE SALUD DEPORTIVA,621111,Consultorios de medicina general del sector privado,9800,7,Iztapalapa,19.33610777,-99.10887525
7761386,CLINCA MEDICA COYOACAN,621111,Consultorios de medicina general del sector privado,4929,3,Coyoacán,19.30678403,-99.1202487
8272324,CLINI K INTEGRAL,621111,Consultorios de medicina general del sector privado,7810,5,Gustavo A. Madero,19.47659936,-99.11977655
711658,CLINICA AMOR,621111,Consultorios de medicina general del sector privado,9440,7,Iztapalapa,19.37594261,-99.12756477
11807706,CLINICA APPLE MEDICAL GROUP ODONTO PEDIATRA,621111,Consultorios de medicina general del sector privado,15000,17,Venustiano Carranza,19.41257193,-99.09085073
1005246,CLINICA CAME CENTRO DE ATENCION A LA MUJER,621111,Consultorios de medicina general del sector privado,14439,12,Tlalpan,19.27295382,-99.17413406
10230753,CLINICA CORPO BELLO,621111,Consultorios de medicina general del sector privado,2730,2,Azcapotzalco,19.47984284,-99.19133479
902979,CLINICA DE ATENCION MEDICA,621111,Consultorios de medicina general del sector privado,3100,14,Benito Juárez,19.38649572,-99.17187439
899757,CLINICA DE CIRUGIA AMBULATORIA COLOPROCTOLOGIA DIAGNOSTICA,621111,Consultorios de medicina general del sector privado,6760,15,Cuauhtémoc,19.40609096,-99.16691034
689656,CLINICA DE CUIDADO OCULAR VISIO LASER,621111,Consultorios de medicina general del sector privado,11010,16,Miguel Hidalgo,19.43115726,-99.20971174
9798689,CLINICA DE DIAGNOSTICO ASPOBU S DE RL DE CV,621111,Consultorios de medicina general del sector privado,3100,14,Benito Juárez,19.39376031,-99.1720455
847586,CLINICA DE ESPECIALIDADES MEDICAS,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.41918846,-99.17379174
875750,CLINICA DE ESPECIALIDADES MEDICAS BOLIVAR,621111,Consultorios de medicina general del sector privado,6800,15,Cuauhtémoc,19.41127796,-99.14198035
8268790,CLINICA DE ESPECIALIDADES MEDICAS BUEN TONO,621111,Consultorios de medicina general del sector privado,7800,5,Gustavo A. Madero,19.47463775,-99.12622034
9380431,CLINICA DE ESPECIALIDADES MEDICAS IZTACALCO,621111,Consultorios de medicina general del sector privado,8650,6,Iztacalco,19.39101001,-99.11489468
8184102,CLINICA DE ESPECIALIDADES ZAMILED,621111,Consultorios de medicina general del sector privado,7230,5,Gustavo A. Madero,19.54137095,-99.15071123
1048797,CLINICA DE JESUS,621111,Consultorios de medicina general del sector privado,13360,11,Tláhuac,19.29294539,-99.03780919
869663,CLINICA DE MATERNIDAD SAN PEDRO,621111,Consultorios de medicina general del sector privado,12200,9,Milpa Alta,19.20591067,-99.04936128
997176,CLINICA DE MEDICINA BIOLOGICA,621111,Consultorios de medicina general del sector privado,1030,10,Álvaro Obregón,19.35905672,-99.183592
932516,CLINICA DE SALUD FEMENINA,621111,Consultorios de medicina general del sector privado,3810,14,Benito Juárez,19.39742914,-99.17141028
1028512,CLINICA DE TERAPIA GRUPO HAMECO,621111,Consultorios de medicina general del sector privado,6600,15,Cuauhtémoc,19.42328853,-99.16861683
811380,CLINICA DEL CARMEN,621111,Consultorios de medicina general del sector privado,8500,6,Iztacalco,19.3936054,-99.07615123
849743,CLINICA DEL CRISTO DEL PEDREGAL,621111,Consultorios de medicina general del sector privado,14100,12,Tlalpan,19.29376778,-99.23173846
944880,CLINICA DOCTOR RAMIREZ VAZQUEZ,621111,Consultorios de medicina general del sector privado,13010,11,Tláhuac,19.27750385,-99.00367664
955563,CLINICA DOCTOR ROQUE,621111,Consultorios de medicina general del sector privado,13010,11,Tláhuac,19.27927478,-99.00839702
751210,CLINICA ESPECIALIZADA RG,621111,Consultorios de medicina general del sector privado,11480,16,Miguel Hidalgo,19.44755859,-99.20449514
907187,CLINICA FENG HUANG,621111,Consultorios de medicina general del sector privado,4369,3,Coyoacán,19.32557688,-99.17097199
687314,CLINICA FONIATRIA,621111,Consultorios de medicina general del sector privado,11520,16,Miguel Hidalgo,19.43824633,-99.19596754
709393,CLINICA GARCIA VALDEZ JUAN ANTONIO,621111,Consultorios de medicina general del sector privado,8500,6,Iztacalco,19.39053762,-99.07636941
10557085,CLINICA GRECIA,621111,Consultorios de medicina general del sector privado,11490,16,Miguel Hidalgo,19.44670391,-99.19404945
987973,CLINICA HOSPITAL XALTOCAN,621111,Consultorios de medicina general del sector privado,16090,13,Xochimilco,19.25827234,-99.10271868
8782789,CLINICA IMAGEN,621111,Consultorios de medicina general del sector privado,9096,7,Iztapalapa,19.3457336,-98.99983908
792398,CLINICA IZTACALCO,621111,Consultorios de medicina general del sector privado,8650,6,Iztacalco,19.39056602,-99.11511308
831075,CLINICA LEMUS,621111,Consultorios de medicina general del sector privado,9640,7,Iztapalapa,19.34775836,-99.0161101
636577,CLINICA LUZ,621111,Consultorios de medicina general del sector privado,7207,5,Gustavo A. Madero,19.54657352,-99.14408131
697863,CLINICA MADONNA,621111,Consultorios de medicina general del sector privado,15000,17,Venustiano Carranza,19.41105693,-99.09725768
789945,CLINICA MARDAN,621111,Consultorios de medicina general del sector privado,8650,6,Iztacalco,19.39355515,-99.11393351
10203048,CLINICA MEDICA,621111,Consultorios de medicina general del sector privado,15270,17,Venustiano Carranza,19.44211401,-99.12147401
1024113,CLINICA MEDICA DOCTOR RAFAEL CLARK,621111,Consultorios de medicina general del sector privado,10340,8,La Magdalena Contreras,19.32138284,-99.24596552
835692,CLINICA MEDICA DR LEON Y ASOCIADOS,621111,Consultorios de medicina general del sector privado,9780,7,Iztapalapa,19.31873416,-99.07343548
792139,CLINICA MEDICA EL ROSARIO,621111,Consultorios de medicina general del sector privado,9570,7,Iztapalapa,19.36509038,-99.03710795
647013,CLINICA MEDICA MIHJAR,621111,Consultorios de medicina general del sector privado,9410,7,Iztapalapa,19.3781898,-99.10306865
793688,CLINICA MEDICA NORMA,621111,Consultorios de medicina general del sector privado,9200,7,Iztapalapa,19.35416208,-99.05433759
878188,CLINICA MEDICA NUESTRA SEÑORA DE LA ASUNCION,621111,Consultorios de medicina general del sector privado,12000,9,Milpa Alta,19.1934332,-99.02203178
1055574,CLINICA MEDICA SANTA LUCIA,621111,Consultorios de medicina general del sector privado,1408,10,Álvaro Obregón,19.36933639,-99.22042608
771197,CLINICA MEDICA VILLEGAS MEMORIAL,621111,Consultorios de medicina general del sector privado,9140,7,Iztapalapa,19.37846545,-99.01285741
10567732,CLINICA MEDICO QUIRURGICA SAAM,621111,Consultorios de medicina general del sector privado,2800,2,Azcapotzalco,19.45754128,-99.16725145
7594264,CLINICA MEDIKAR,621111,Consultorios de medicina general del sector privado,14480,12,Tlalpan,19.23266236,-99.17933878
841068,CLINICA MILENIUM,621111,Consultorios de medicina general del sector privado,9900,7,Iztapalapa,19.30276139,-99.06886831
8652631,CLINICA MIRANDA,621111,Consultorios de medicina general del sector privado,8100,6,Iztacalco,19.4106993,-99.06740147
881613,CLINICA NUESTRA SEÑORA DE LA SOLEDAD,621111,Consultorios de medicina general del sector privado,5000,4,Cuajimalpa de Morelos,19.35489209,-99.30093747
847582,CLINICA OMEGA,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.41918846,-99.17379174
750695,CLINICA PARANA,621111,Consultorios de medicina general del sector privado,11230,16,Miguel Hidalgo,19.45890591,-99.20894512
738595,CLINICA PROMEDIC MEDICINA GENERAL,621111,Consultorios de medicina general del sector privado,2080,2,Azcapotzalco,19.46234236,-99.18016721
951558,CLINICA SACRAMENTO,621111,Consultorios de medicina general del sector privado,3200,14,Benito Juárez,19.38111141,-99.17615763
788523,CLINICA SAN ANTONIO,621111,Consultorios de medicina general del sector privado,8730,6,Iztacalco,19.3935956,-99.10262627
10280174,CLINICA SAN JOSE,621111,Consultorios de medicina general del sector privado,16029,13,Xochimilco,19.2618601,-99.13145254
827827,CLINICA SAN JUDAS TADEO,621111,Consultorios de medicina general del sector privado,9660,7,Iztapalapa,19.34398132,-99.02370625
1052744,CLINICA SAN MARCOS DE ZAPOTITLAN,621111,Consultorios de medicina general del sector privado,13300,11,Tláhuac,19.2967055,-99.03472169
711782,CLINICA SAN RAFAEL LA VIGA,621111,Consultorios de medicina general del sector privado,9089,7,Iztapalapa,19.36863508,-99.12266395
10070702,CLINICA SANAR INTEGRATIVE,621111,Consultorios de medicina general del sector privado,11540,16,Miguel Hidalgo,19.43276591,-99.19983253
11054406,CLINICA SG,621111,Consultorios de medicina general del sector privado,4200,3,Coyoacán,19.34116768,-99.14002193
9900965,CLINICA TUDOC ON DEMAND,621111,Consultorios de medicina general del sector privado,11000,16,Miguel Hidalgo,19.42743184,-99.21073805
761188,CLINICA VASCO DE QUIROGA,621111,Consultorios de medicina general del sector privado,7440,5,Gustavo A. Madero,19.49377111,-99.09503568
648292,CLINICA YAMI,621111,Consultorios de medicina general del sector privado,2200,2,Azcapotzalco,19.49125366,-99.18723508
967318,CLINICOS ASOCIADOS BOCM,621111,Consultorios de medicina general del sector privado,3303,14,Benito Juárez,19.37120599,-99.15349496
668363,CLINIMED,621111,Consultorios de medicina general del sector privado,2080,2,Azcapotzalco,19.46712533,-99.17918009
8327772,CLINIQUE RINOPERFECT,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.41466552,-99.16134684
947232,COBSULTORIO DOCTOR MORA,621111,Consultorios de medicina general del sector privado,13120,11,Tláhuac,19.32207231,-98.95897525
10827674,COLSUTORIO MEDICO GI,621111,Consultorios de medicina general del sector privado,1420,10,Álvaro Obregón,19.37977982,-99.19252094
9903256,COMODATO,621111,Consultorios de medicina general del sector privado,5000,4,Cuajimalpa de Morelos,19.36217304,-99.28803074
908388,CONDULTORIA DENTA DOCTTORA SUSANA,621111,Consultorios de medicina general del sector privado,4200,3,Coyoacán,19.34119482,-99.14002074
687283,CONMEDIK CONSULTORES EN MEDICINA INTEGRAL,621111,Consultorios de medicina general del sector privado,11520,16,Miguel Hidalgo,19.43824633,-99.19596754
667172,CONSILTORIO MEDICO MEDICINA GENERAL,621111,Consultorios de medicina general del sector privado,15700,17,Venustiano Carranza,19.42161798,-99.08841557
755497,CONSILTORIOS MEDICOS Y ESPECIALIDADES,621111,Consultorios de medicina general del sector privado,15900,17,Venustiano Carranza,19.41248225,-99.10446535
11659097,CONSULTA DE CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,11850,16,Miguel Hidalgo,19.41118346,-99.18531923
8528969,CONSULTA GENERAL,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.4146637,-99.16135595
10271430,CONSULTA GENERAL,621111,Consultorios de medicina general del sector privado,4700,3,Coyoacán,19.30916865,-99.16328639
11188053,CONSULTA GENERAL,621111,Consultorios de medicina general del sector privado,4300,3,Coyoacán,19.31459927,-99.16506887
9827304,CONSULTA GENERAL,621111,Consultorios de medicina general del sector privado,4300,3,Coyoacán,19.31308298,-99.16296163
9679886,CONSULTA GENERAL,621111,Consultorios de medicina general del sector privado,4700,3,Coyoacán,19.30916865,-99.16328639
11510734,CONSULTA GENERAL,621111,Consultorios de medicina general del sector privado,4300,3,Coyoacán,19.31307476,-99.16295137
1003905,CONSULTA MEDICA GENERAL,621111,Consultorios de medicina general del sector privado,5219,4,Cuajimalpa de Morelos,19.37460637,-99.2838493
831941,CONSULTA MEDICA GENERICOS Y SIMILARES,621111,Consultorios de medicina general del sector privado,9770,7,Iztapalapa,19.32736678,-99.06345182
923261,CONSULTAS MEDICAS,621111,Consultorios de medicina general del sector privado,1298,10,Álvaro Obregón,19.37086167,-99.23151667
675588,CONSULTIORIO MEDICO,621111,Consultorios de medicina general del sector privado,7840,5,Gustavo A. Madero,19.46938892,-99.12094877
10686659,CONSULTORES EN MEDICINA ELECTRONICA ,621111,Consultorios de medicina general del sector privado,3100,14,Benito Juárez,19.37144612,-99.16486795
9196622,CONSULTORES EN MEDICINA LABORAL Y DEL TRANSPORTE,621111,Consultorios de medicina general del sector privado,15510,17,Venustiano Carranza,19.438575,-99.08529376
778286,CONSULTORI MEDICO,621111,Consultorios de medicina general del sector privado,11800,16,Miguel Hidalgo,19.39998447,-99.17846773
828582,CONSULTORI MEDICO,621111,Consultorios de medicina general del sector privado,9637,7,Iztapalapa,19.32784508,-98.96952798
643029,CONSULTORI MEDICO SIN NOMBRE,621111,Consultorios de medicina general del sector privado,2459,2,Azcapotzalco,19.49108089,-99.19836673
991326,CONSULTORIO,621111,Consultorios de medicina general del sector privado,4939,3,Coyoacán,19.30561785,-99.10893753
9939337,CONSULTORIO,621111,Consultorios de medicina general del sector privado,4318,3,Coyoacán,19.34204194,-99.18177241
987448,CONSULTORIO,621111,Consultorios de medicina general del sector privado,4040,3,Coyoacán,19.35042584,-99.15190571
801977,CONSULTORIO,621111,Consultorios de medicina general del sector privado,9180,7,Iztapalapa,19.36069209,-98.99415538
789674,CONSULTORIO,621111,Consultorios de medicina general del sector privado,8810,6,Iztacalco,19.38651878,-99.13278914
787247,CONSULTORIO,621111,Consultorios de medicina general del sector privado,8710,6,Iztacalco,19.39638417,-99.11261329
11830839,CONSULTORIO,621111,Consultorios de medicina general del sector privado,7770,5,Gustavo A. Madero,19.47726055,-99.1416587
10856367,CONSULTORIO,621111,Consultorios de medicina general del sector privado,11800,16,Miguel Hidalgo,19.39859468,-99.18482949
8458109,CONSULTORIO,621111,Consultorios de medicina general del sector privado,6760,15,Cuauhtémoc,19.40680793,-99.16791589
7733140,CONSULTORIO,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.41860335,-99.17164503
10272168,CONSULTORIO,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.41624812,-99.16261062
11224758,CONSULTORIO,621111,Consultorios de medicina general del sector privado,6000,15,Cuauhtémoc,19.43351521,-99.13718595
10398557,CONSULTORIO,621111,Consultorios de medicina general del sector privado,16100,13,Xochimilco,19.25715918,-99.13074589
11145595,CONSULTORIO,621111,Consultorios de medicina general del sector privado,14500,12,Tlalpan,19.1995472,-99.14194009
9879918,CONSULTORIO,621111,Consultorios de medicina general del sector privado,3104,14,Benito Juárez,19.37162027,-99.1775884
11411636,CONSULTORIO,621111,Consultorios de medicina general del sector privado,6030,15,Cuauhtémoc,19.43894101,-99.15493314
904332,CONSULTORIO 1007,621111,Consultorios de medicina general del sector privado,3330,14,Benito Juárez,19.36104879,-99.16978526
10962822,CONSULTORIO 1088,621111,Consultorios de medicina general del sector privado,10700,8,La Magdalena Contreras,19.31177724,-99.22038324
8387127,CONSULTORIO 2,621111,Consultorios de medicina general del sector privado,3300,14,Benito Juárez,19.37245788,-99.1478578
904340,CONSULTORIO 711,621111,Consultorios de medicina general del sector privado,3330,14,Benito Juárez,19.36104879,-99.16978526
7255742,CONSULTORIO 817 MEDICINA GEENERAL,621111,Consultorios de medicina general del sector privado,3330,14,Benito Juárez,19.36104879,-99.16978526
904319,CONSULTORIO 908 TORRE MEDICA SAN ANGEL INN,621111,Consultorios de medicina general del sector privado,3330,14,Benito Juárez,19.35882127,-99.16877222
8596023,CONSULTORIO AC,621111,Consultorios de medicina general del sector privado,15500,17,Venustiano Carranza,19.43122868,-99.10796583
8596586,CONSULTORIO ADJUNTO A FAMAMIGO,621111,Consultorios de medicina general del sector privado,7620,5,Gustavo A. Madero,19.52484091,-99.16940764
9797189,CONSULTORIO ADJUNTO FARMAMEDIC,621111,Consultorios de medicina general del sector privado,7620,5,Gustavo A. Madero,19.52340373,-99.16647467
6956851,CONSULTORIO ALFARERO,621111,Consultorios de medicina general del sector privado,7918,5,Gustavo A. Madero,19.46932667,-99.07376112
10831662,CONSULTORIO ALIANZA,621111,Consultorios de medicina general del sector privado,13150,11,Tláhuac,19.3127356,-98.96726957
9685501,CONSULTORIO ANDRES,621111,Consultorios de medicina general del sector privado,7160,5,Gustavo A. Madero,19.55347623,-99.1383844
7193003,CONSULTORIO ANSE,621111,Consultorios de medicina general del sector privado,9830,7,Iztapalapa,19.34045499,-99.07020207
11056849,CONSULTORIO ATIN,621111,Consultorios de medicina general del sector privado,1030,10,Álvaro Obregón,19.35905672,-99.183592
10588638,CONSULTORIO BEST FUNDATIONS,621111,Consultorios de medicina general del sector privado,6720,15,Cuauhtémoc,19.42523684,-99.14833489
756656,CONSULTORIO CEDILLO,621111,Consultorios de medicina general del sector privado,11410,16,Miguel Hidalgo,19.45468336,-99.18941722
7444707,CONSULTORIO CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,11800,16,Miguel Hidalgo,19.39972737,-99.17304203
777413,CONSULTORIO CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,11800,16,Miguel Hidalgo,19.39972737,-99.17304203
777436,CONSULTORIO CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,11800,16,Miguel Hidalgo,19.39972737,-99.17304203
777459,CONSULTORIO CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,11800,16,Miguel Hidalgo,19.39972737,-99.17304203
777460,CONSULTORIO CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,11800,16,Miguel Hidalgo,19.39972737,-99.17304203
8859189,CONSULTORIO CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.4213356,-99.1563463
8488981,CONSULTORIO CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,3330,14,Benito Juárez,19.35882127,-99.16877222
833513,CONSULTORIO CITLALLI,621111,Consultorios de medicina general del sector privado,9660,7,Iztapalapa,19.3420829,-99.02188214
773781,CONSULTORIO CLINICO DE JESUS MEDICO,621111,Consultorios de medicina general del sector privado,9510,7,Iztapalapa,19.36763392,-99.00647871
9775552,CONSULTORIO COMUNITARIO,621111,Consultorios de medicina general del sector privado,9700,7,Iztapalapa,19.32579132,-99.03771647
10211080,CONSULTORIO COMUNITARIO MEXFAM,621111,Consultorios de medicina general del sector privado,9700,7,Iztapalapa,19.31947757,-99.0406566
8326385,CONSULTORIO DCC,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.42200088,-99.15672172
10632555,CONSULTORIO DE ACUPUNTURA Y NEUROLOGIA,621111,Consultorios de medicina general del sector privado,2000,2,Azcapotzalco,19.48174043,-99.18653673
676455,CONSULTORIO DE CIRUGIA EN GENERAL,621111,Consultorios de medicina general del sector privado,7300,5,Gustavo A. Madero,19.48712505,-99.12995239
899460,CONSULTORIO DE CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,6760,15,Cuauhtémoc,19.40683965,-99.16666056
894643,CONSULTORIO DE CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.42192053,-99.15707777
8583470,CONSULTORIO DE CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,10700,8,La Magdalena Contreras,19.31228967,-99.22036152
8387041,CONSULTORIO DE CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,10700,8,La Magdalena Contreras,19.31117631,-99.22086959
8616454,CONSULTORIO DE CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,10700,8,La Magdalena Contreras,19.31228967,-99.22036152
932236,CONSULTORIO DE CIRUGIA GENERAL SIN NOMBRE,621111,Consultorios de medicina general del sector privado,3710,14,Benito Juárez,19.38441567,-99.17569217
1013294,CONSULTORIO DE CIRUJIA GENERAL,621111,Consultorios de medicina general del sector privado,1120,10,Álvaro Obregón,19.39939293,-99.20422735
